No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,家賃と広告費,これだけは肝に銘じて欲しいんですが、家賃が高いお店は広告費が安く、家賃が安いお店は広告費が高なりやすいんです。,出店するなら、そら家賃は安い方がええって思いますよね？,固定費を抑えたい一心で、ちょっと奥まった場所とか、人通りの少ないとこの物件、つい探しちゃいますよね。,でもその判断、一番高くつくかもしれませんよ。,家賃は抑えられたけど、誰も店の存在に気づいてくれへん。結果、延々と広告費を垂れ流すことになるんです。,「場所は悪くても、味さえ良ければお客さんは来てくれるはず」って、心のどこかで思ってませんか？,毎月必ず出ていく家賃のプレッシャー、重たいのはよう分かります。そら1円でも安くしたいですよね。,でもそれって、効果が読めへん広告費より、金額が決まってる家賃の方が安心できるってだけちゃいます？,気持ちは分かりますけど、その考え方やと、集客の悩みから一生抜け出されへんかもしれません。,今日は、家賃を『コスト』やなくて『投資』として見る、ほんまの物件選びの考え方を話します。,良い立地の家賃は『買い切りの広告』で、グルメサイトの広告費は『月額の広告』なんです。,例えば駅前の物件は、家賃払うだけで毎日何千人にも『ここに店ありますよ！』って看板出し続けてくれてるようなもんです。,家賃は固定の集客費用、広告費は変動する集客費用と覚えてください。,大事なんは、家賃と広告費をバラバラに考えへんこと。二つ合わせて『総集客コスト』で見るんです。,物件探すときは『この家賃やったら、広告費は月いくらまで使えるか』をセットでシミュレーションするんです。,目先の安さに飛びついて後で苦しむより、トータルの集客コストで判断する方が、経営は絶対ラクになりますよ。,出店時に大事なのは家賃単体で高いor安いを判断するんじゃなくて「家賃＋広告費」で見なければいけないです。,マクドナルドから真似すべき戦法;CFの8つの型で自店の経営状況の判断を;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;加工品を賢く取り入れる
2,ミスが多いスタッフへの叱責,「なんでできひんねん！」ってスタッフに言うてる店長、それ一番やったらあかんやつです。,「また同じミスか…」って、イライラする気持ち、めっちゃ分かります。,つい感情的に「前も言うたやんか！」って、声大きくなってませんか？,でもそれ、スタッフの心が離れていくだけですよ。,このままやと、優秀な子から辞めていって、店全体の空気が最悪になります。,たぶん今、「怒りたないけど、言わなしゃあない」って思ってますよね。,何回教えても同じ間違いされると、「こっちの教え方が悪いんかな…」って不安になりますもんね。,ほんまは期待してるからこそ、もっとちゃんとやってほしい。その気持ち、痛いほどわかります。,その愛情、めっちゃ大事です。でも、伝え方が間違ってたら、ただの攻撃になってまいます。,このリールでは、スタッフのミスが減って、むしろ成長してくれる「叱り方」のポイントを話します。,「なんでできひんの？」って個人を責めるのと、「どうやったらできるやろ？」って一緒に考えるのは、全然ちゃいます。,例えばオーダーミスが多いなら、ハンディの入力方法が分かりにくいとか、メニュー名が似てるとか、そういう「仕組みの罠」があるはずなんです。,答えはシンプルで、人を責めるんやなくて、「ミスが起きる仕組み」を疑うことです。,ポイントは3つ。「事実の確認」「原因のヒアリング」「再発防止策の共有」。感情は一旦横に置いといてください。,「なんでミスしたん？」やなくて、「さっきの、どういう状況やった？」って聞いて、一緒に考えるんです。チェックリスト作るのも有効ですよ。,感情で怒るより、仕組みで解決する方が、店長もスタッフも絶対ラクになりますから。,ミスは「人」やなくて「仕組み」の問題。まずは「なんで？」を「どうすれば？」に変えてみてください。,現場のスタッフ全員で生産者に会いに行け;集客に即効性を求めてはいけない;財務三表の説明;お客様の怒りや渇望→マーケ;家族経営の強み
3,深夜営業やランチ営業をやるかどうか,ランチ営業、安易に始めるから失敗するんですよ。,夜の売上が頭打ちやから、昼も開けてなんとか売上を足さなって思ってません？,とりあえず手頃なランチメニュー作って、店の前に看板出しとこか、みたいな。,それ、一番やったらあかんやつです。,売上はちょっと増えても、人件費と光熱費で利益はトントン。スタッフが疲弊するだけで終わります。,「時間長く働いてるのに、なんでか手元にお金が残らん…」ってなってません？,売上を1円でも増やしたいって気持ち、痛いほどわかります。,でも本音は、これ以上しんどい思いしたくないって思ってますよね？,その考え方のままだと、時間と体力を切り売りする経営から抜け出せませんよ。,今日は、営業時間を増やすべきかどうかの“正しい判断基準”をお伝えします。,売上だけ見て時間を増やす店と、追加の利益で判断する店。これで未来が全然変わるんです。,ランチ営業って、穴の空いたバケツに必死で水注いでるようなもんかもしれへんのです。,営業時間を増やすかどうかは、「売上」やなくて「追加でいくら利益が出るか」だけで判断してください。,増える売上から、増える人件費、光熱費、食材費を全部引く。それでもプラスになるかです。,まず紙に書き出してみてください。ランチで1日1万円売上増えても、人件費と経費で1万1千円かかったら、やる意味ないでしょ？,忙しいだけで儲かってない状態が、一番しんどいんです。勇気出して見直しましょ。,営業時間は、売上を最大にするためやない。利益を最大にするために決めるもんです。,あなたの店、SNSやる前に現場の空気が整ってますか？;問題の本質を探す→新規集客欲しいのにメニュー開発、人が辞めるから人事評価など;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;マルチチャネル経営が必須
4,外国人スタッフのマネジメント,外国人スタッフに簡単な仕込みしかさせてない店、その優しさが店の寿命縮めてますよ。,「言葉の壁もあるし、教えるのも大変やから…」って、つい簡単な仕事ばっかりお願いしてませんか？,洗い物とか、野菜のカットとか、誰でもできる作業ばっかり任せてしまう。,その気遣い、実は一番あかんのです。,その結果、日本人スタッフの負担だけが増えて、その人が辞めたらもう店が回らんようになってまうんです。,「本当はもっと色々任せたいけど、教える時間もないし…」って、見て見ぬふりしてません？,忙しい中で新しいこと教えるのが、どれだけ大変か、ほんまによう分かります。,でも心のどこかで「このままやと、ただの人件費やな…」って感じてるんちゃいます？,そのモヤモヤ、放置してても何も解決せぇへん。むしろ悪化するだけです。,このあと、ただの人件費を未来への『人的資産』に変える、具体的な方法をお伝えします。,『作業員』を雇い続けるか、『戦力』を育てるか。1年後の店の状態、全然ちゃいますよ。,これって包丁と一緒で、研ぐ時間はかかるけど、切れ味の良い包丁は後々の仕込みが圧倒的に早くなりますよね。,結論、人件費を払ってるのに『できること』が増えへんのが、この問題の最大のリスクなんです。,ポイントは3つ。写真付きマニュアル、簡単な調理からのステップアップ、そして『君に期待してる』ってちゃんと伝えること。,まずは『サラダ場』だけとか、一つのポジションを完璧に任せることから始めてみてください。チェックリスト作って渡すのがおすすめです。,彼らが成長した時、オーナーであるあなたの時間が生まれて、もっと大事な仕事に集中できるようになりますよ。,見えないところで増える負担をなくして、強いチームを作りましょう。,歩留計算の仕方;インスタグラマー集客はやめろ;ネット情報の統一化;開業してから考えるな　今いるお客さんの視点から逆算しろ;誕生日よりも水曜日を狙え
5,インフルエンサーはいくらで呼べる？,「インフルエンサーっていくらで呼べる？」その質問してる時点で、お金ドブに捨てる可能性大です。,インフルエンサーさえ呼べば、すぐにお店が満席になるって期待してませんか？,とりあえずフォロワーが多い人にDM送って、来てもらえたらラッキー…とか考えてません？,それ、一番やったらあかんやつです。,高いお金払ったのに、一瞬バズって終わり。結局リピートにも繋がらん…そんな未来が見えてます。,「あの店はインフルエンサーで成功したのに、うちはなんで…」って、他のお店と比べて焦ってませんか？,僕も昔は、フォロワー数だけ見て「この人なら間違いない」って思ってました。,でも内心、「ほんまにこの人でええんかな…」って不安でしたよね。,その不安の正体は、呼ぶ目的がフワッとしてるから。インフルエンサーは魔法使いちゃいますよ。,今日は、インフルエンサーにお金を払う前に、絶対に決めておくべき『たった一つのこと』を話します。,フォロワー10万人に頼んで失敗する店と、1万人に頼んで成功する店の違い、知りたくないですか？,インフルエンサーって、チラシ配りと一緒なんです。誰に配るか決めんと、ただの紙くずになりますやん？,大事なんはフォロワー数やない。『誰に、何を伝えてほしいか』。お店側の目的がすべてです。,例えば「近所の20代女性に来てほしい」のか、「遠くからでも来てくれるファンを作りたい」のか。目的によって頼むべき人は全然違います。,まず『今回の目的』と『来てほしい客層』を紙に書いてください。それに合う人を探すのがスタートです。,ちゃんと準備すれば、インフルエンサーは最強の味方になります。無駄金にはなりません。,インフルエンサーは『きっかけ』作り。リピートに繋げるのは、お店の実力です。まずは目的を明確にしてみてください。,通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;マルチチャネル経営が必須;売上が下がったときは割引じゃなく販路を増やせ
6,2店舗目を出すタイミングは？,1店舗目が儲かったら2店舗目っていう発想、その8割が失敗に終わってます。,「1店舗目も軌道に乗ったし、そろそろ次かな…」って考えますよね。,売上も利益も出てるし、銀行もお金貸してくれる。今がチャンスや！って思ってませんか？,でも、その判断基準、めっちゃ危ないんですよ。,そのまま勢いで2店舗目出すと、両方のお店が共倒れ。気づいた時にはもう手遅れです。,ほんまは「自分が現場におらんでも店は大丈夫か？」って聞かれたら、ちょっと自信ないんとちゃいます？,もっと事業を大きくしたい、成功を加速させたい。その気持ち、めっちゃ分かります。,でも心のどこかで、自分が抜けたら今の店が崩れるんちゃうかって不安もありますよね。,その不安、見て見ぬふりしてたらアカン。それが失敗のサインなんです。,このあと、2店舗目を出して失敗する本当の理由と、成功するベストなタイミングについてお話します。,儲かってる時に出すのと、仕組みができた時に出すのとでは、天と地ほどの差があるんです。,1店舗目は自分がエースで勝てた試合。でも2店舗目は、監督としてチームを勝たせなあかんのです。,2店舗目を出すタイミングは、1店舗目が儲かった時やない。自分なしで回るようになった時です。,店長が育ってて、マニュアルもあって、自分が1週間休んでも売上が落ちひん状態。これが最低条件ですわ。,まずは今の店で、自分がおらんでも利益が出る仕組みづくりから始めてください。それが一番の近道です。,お金の心配より、人の心配ができるようになったら、それはもうGOサインかもしれませんね。,2店舗目で失敗する最大の理由は資金ショートやない。組織力不足です。焦らず、足元を固めていきましょ。,カット済みの納品（肉・野菜）→歩留や人件費;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな;PLは％で見れるように;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方
7,チェーン店に勝つには,チェーン店に勝とうとした時点で、それ負け確定ですわ。,「また近くに大手が進出か…」って、価格競争にウンザリしてません？,つい、安さとかメニューの多さで対抗しようとして、無理してしんどなったり。,それ、土俵がちゃいます。,このままやと、資本力でじわじわ削られて、自分のお店の良さまで見失ってしまいますよ。,ほんまは「うちの店にしかできひんことがあるはずや」って、心のどこかで思ってません？,分かりますよ。大手の安心感とか安さには、なかなか太刀打ちできひんって思いますよね。,でも心の奥では、「価格だけで比べられたくない」って叫んでるはずです。,その気持ち、めっちゃ大事です。でも、戦う場所を間違えたら、その想いも届かへんのですわ。,今日は、チェーン店と同じ土俵に立たずに、あなたのお店が“熱狂的に選ばれる”理由の作り方、お伝えします。,価格で戦う店と、価値で選ばれる店。お客さんの「好き」の深さが全然違います。,チェーン店が万人向けの教科書やとしたら、個人店はたった一人に宛てた手紙。どっちが心に残るかって話です。,結論、チェーン店に勝つんやない。チェーン店ができひんことをやるんです。,オーナーの顔が見える接客、地域との深い繋がり、ちょっと尖ったコンセプト。大手には真似できへん“人間味”で勝負するんです。,まずは「誰に一番喜んでほしいか」を一人だけ想像してみてください。その人のための店づくりが、すべての始まりです。,僕も昔は安売りで消耗してました。でも“たった一人”を想って店を変えたら、熱狂的なファンがついてきてくれたんです。,チェーンは万人に、個人店は誰かに。この勝負に持ち込めば、資本力やなくて存在理由で勝てます。保存して、また見返してな。,売上目標の決め方;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;なぜこの店は夢を語ってるだけで予約が埋まるのか？;アルコール出ない問題
8,シフトの提出が遅い,シフト提出が遅くて困ってるって？それ、スタッフの問題ちゃう。お店の仕組みの問題やで。,なんでウチの子らはギリギリなんやろ…って、毎月頭抱えてません？,結局こっちから一人ひとりに「シフトまだ？」って連絡して、なんや情けなくなりますよね。,でもそれ、根本的な解決になってません。,そのうち「言われるまで出さんでええか」って空気が蔓延して、店全体の規律が崩壊していきます。,シフトだけやない。「なんかこの子、店のこと他人事やな」って感じる瞬間、ありませんか？,もっと店の一員として動いてほしい。そう思ってるのに、なかなか伝わらんのですよね。,「こっちは必死やのに、なんで分かってくれへんのやろ」って、寂しくなることありますよね。,その気持ち、痛いほど分かります。でも、彼らの“やる気”に期待してるだけじゃ、何も変わらへんのです。,実は、シフト提出が早い店って、スタッフの意識が高いんやなくて、“提出したくなる仕組み”があるだけなんです。,アカン店は「シフトを出せ」って“義務”にする。ええ店は「シフトを組む」って“自分ごと”にするんです。,ただの作業員として扱われるより、「来月のこのイベント、誰が入れるかで成功するか決まるねん」って言われた方が、自分も参加したくなりませんか？,結論、シフト提出の遅さは、お店への“当事者意識の低さ”が原因です。,せやから、やるべきは催促やない。「お店の目標を共有する」「シフトの重要性を伝える」この２つを徹底するんです。,たとえば月初の朝礼で、「来月はこのイベントがあるから、みんなの力が必要やねん」って伝える。それだけで“ただの作業”じゃなくなります。,今までスタッフを責めてた自分に気づくかもしれません。でも、それだけお店のことを真剣に考えてる証拠です。,人を責めるより、仕組みを変える。その方が100倍早いでっせ。,やりがいじゃなく仕掛けマネジメント;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる;人気店ほどクレーム多い理由はミスではなく期待値が高いだけ;予約ゼロ→満席に変えた価格の順番　値下げより設計が先;試食の仕方　ワンポーション食わんかい
9,面接で何聞いたらいい？,面接で「何がしたいん？」とか語って満足してる人、半年後応募者に辞められる未来しかないですよ。,「ええ人やと思ったのに…」って、採用後に後悔したことありません？,つい「うちで何したい？」とか、未来の話ばっかり聞いてません？,その質問、一番アカンやつです。,そのやり方やと、ええ人採ったつもりが、結局教える時間もコストも全部ムダになります。,ほんまは「この人で大丈夫かな？」って不安やけど、確かめる方法が分からんのちゃいます？,分かりますよ。僕も昔は、やる気ある言葉に騙されて何回も失敗しました。,「この人なら大丈夫」って確信を持って採用したい、それが本音ちゃいます？,その気持ちは大事やけど、やり方を変えんと、ええ出会いはありません。,この後、面接で聞くべき“たった一つのルール”を具体的にお伝えします。,「将来どうしたい？」って聞くのと、「過去どうしてきた？」って聞くのでは、見えるもんが全然ちゃいます。,面接って仕入れと一緒ですわ。産地（過去）も分からん食材（人）を、見た目（やる気）だけで選んだらアカンでしょ？,結論、面接では未来の質問は一切やめて、過去の質問だけしてください。,「今までで一番大変やった仕事は？」「その時どう乗り越えた？」「なんでそうしようと思った？」この3つを聞くだけでええんです。,過去の行動とその理由を聞けば、その人の“思考のクセ”と“行動パターン”が手に取るように分かります。,もう、「ええ人やと思ったのに…」って後悔するんは、今日で終わりにしましょ。,面接は“採用する理由”を探す場やない。“採用したらアカン理由”がないかを確認する場なんです。,新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;ABC分析;PLは％で見れるように;メニュー開発は固定概念に囚われてはいけない（リフレーミング）
10,忙しいのにお金が残らない,忙しいのにお金が残らへん店、それ一番ヤバい経営ですよ。,毎日満席やのに、なんで月末の通帳は寂しいんやろ…って思いません？,「売上は上がってるし、まあええか」って、つい後回しにしてません？,それ、一番アカンやつです。,そのまやと、気づいた時には資金ショート。黒字倒産まっしぐらですよ。,「頑張ってればいつか報われるはず」って、心のどこかで思ってません？,現場回すだけでヘトヘトで、細かい数字まで見る余裕ないのも、めっちゃ分かります。,ほんまはもっと安心して、余裕もって店やりたいですよね？,でもその「忙しいから」を言い訳にしてたら、一生お金は残りません。,なんで忙しいのにお金が残らへんのか、その“カラクリ”と、今すぐできる対策を話します。,売上だけ見てる店と、ちゃんとキャッシュを生んでる店の違いです。,穴の空いたバケツで水を汲んでるようなもん。まずはその穴、塞がなあきません。,結論、キャッシュを生まへん仕事をやめることです。,売上はあるのに、キャッシュを生まへん仕事が多い店は、お客さんが増えるほどしんどなるだけです。,まずは税理士さんと一緒に、先月の数字を振り返ってみてください。問題はそこに全部書いてます。,ちゃんと利益が残るようになると、心の余裕が全然違いますよ。,売上を作ることに集中しすぎて、利益を残すこと忘れてませんか？,POSレジの紹介;SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）;無意識のクセが命取り（所作は人格、ふるまいはブランド）;開業してから考えるな　今いるお客さんの視点から逆算しろ;物件選びはなんかええな、じゃなくてロジックで選ばなあかん
