No,タイトル,フック,解決策,エンド,処理済み
1,法人or個人,開業時、法人or個人どっちでやろうか悩みますよね,最大の法人のメリットはオーナー自身の給与（役員報酬）を経費にできて給与所得控除を活用できることです,デメリットももちろんあって社会保険への加入が義務付けられてるのと、赤字でも毎年7万円程度の法人住民税がかかることです,
2,棚卸,棚卸ってなんのためにやるか説明できひん経営者が多すぎる,一番の目的は仕入れたものがどれだけお金に変わって、どれだけ在庫として仕入れに使ったお金が現金化されてないかを把握するためです,そのほかにもロスや盗難の発見や、発注量の把握のために行います,
3,オープン時の機材＝電力,オープン時に機材ケチってるお店は大体数ヶ月後に後悔してます,後からスチコン入れる、業務用電子レンジ入れるとなったときに電気容量が足りずブレーカー落ちることになりますよ,甘く見積もらずに入れておくと便利はどうせすぐに必要になるので開業資金と電力計算には必ず入れておきましょう,
4,値段の決め方,値段決める時『原価の⚪︎⚪︎倍』って決めてたらそりゃ潰れますよ,結論、いくらで売りたいかではなく、お客様が納得して払ってくれて、お店が潰れない金額にすることです,「この料理ならこの金額で満足できるか？」の目線を忘れた瞬間、あなたのお店はただの金儲けビジネスになりますよ？,
5,SNS、グルメ媒体の使い分け,正直どのグルメサイトに契約しようか悩みますよね,それぞれの強み弱みがあるので自分のお店の特徴に合わせて契約するべきです,その商圏でどのサイト経由の予約が多いかをちゃんと調べつつ、予約の前の『発見してもらう』ためのSNS・Googleも力を入れていきましょう,
6,アルバイトのモチベーション,アルバイトはお金が目的で入社して人のために残るものです,時給だけではなく「存在価値を感じられるか」で判断しています,承認、成長実感、貢献実感、仲間意識これらを与えられる飲食店こそこれからの時代強い飲食店です,
7,集客って何からしたらいい？,集客したいからって試作するのはやめてください,まずはペルソナをしっかり作り込み、その人が触れるであろう媒体にちゃんと露出することからです,新商品や目新しい料理はあくまでお店に来てからです、集客はその手前のお仕事です,
8,補助金頼りはジリ貧,補助金頼りの経営はジリ貧な未来しかないですよ,あくまで新事業やシステムの導入に使う経営の加速素材として使うべきです,利益の補填に使うのはもってのほかで加速に使うにしても「補助金がないと⚪︎⚪︎できひん」となるのであれば使ってはいけません,
9,オーナーは現場に入ってはダメです,オーナーは現場に入ってはダメです,経営と個人事業の違いの一番は人を使って事業売上が上げられるかの違いです,オーナーは事業の未来や会社の今後を考えるための意思決定をしてください,
10,HACCPって何,HACCPって結局何するか分かってます？,食中毒や異物混入の問題が起きてから対応するのではなく、問題が起きないように管理する衛生管理のことです,"2021年6月からすべての飲食業はHACCP対応が義務化されています
記録とルールの徹底で食中毒を起こさない店舗作りをしていきましょう",
11,採用してはいけない人,この人能力低いからって不採用にしてたら面接下手くそすぎますよ,能力は後付けできますが、価値観が合わない人はどう足掻いても一緒に仕事はできません,そのためにも自分のお店の価値観は人に伝えられる状態にしておくべきなので、明日アイドルタイムにスタッフと一度話してみてください,
12,日常エリアと非日常エリア,出店前のエリア選びで潰れるか続くかは80％決まります,あなたのお店はどういう時に使われるかを説明できないうちはまだ不動産に行っちゃダメです,価格設定や接客の仕方、集客方法が全く違うエリアなので出店前の今こそ慎重にいきましょう,
