period_start,period_end,page_type,pv,share_percent,note
2025-08,2025-08,店舗トップ,364,53.5,
2025-08,2025-08,メニュー,106,15.6,
2025-08,2025-08,口コミ・評価,97,14.2,
2025-08,2025-08,その他,35,5.1,
2025-08,2025-08,料理写真,30,4.4,
2025-08,2025-08,内観写真,17,2.5,
2025-08,2025-08,地図・クーポン,12,1.8,
2025-08,2025-08,外観写真,11,1.6,
2025-08,2025-08,ドリンク写真,8,1.2,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2025-08,2025-08,座席情報,1,0.1,
2025-08,2025-08,地図印刷,0,0.0,
2025-08,2025-08,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
