No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,クレーム客の対応の仕方,クレーム対応、このマニュアル丸パクリでOKです。,お客さんの怒った顔見て、心臓がキュッてなることありません？,「とりあえず謝っとこ…」「はよ帰ってくれへんかな…」って、その場しのぎの対応してません？,それ、一番やったらあかん対応ですわ。,その一回の対応ミスがSNSで拡散されて、店の信用も常連さんも一瞬で失いますよ。,「なんでウチが悪者に…」って、理不尽さに腹が立ってる時、ありますよね？,ほんまは、お客さんにも納得してもらって、お店のファンでいてほしい。そう思ってますよね。,でも感情的にこられると、こっちも冷静でおれんくなる。それが本音ちゃいます？,僕も昔は感情で返して大失敗しました。でも店を守れるのは、感情やなくて仕組みだけなんです。,今日は、どんなクレームも怖くなくなる、ノンストレスな対応の“型”を全部お伝えします。,感情で対応する店は敵を作り、仕組みで対応する店は逆にファンを増やします。,クレーム対応は初期消火と一緒。やり方を間違えたら、あっという間に店中が火の海です。,正解はひとつ。クレームは『感情』で受け止めて、『手順』で解決するんです。,やることはシンプルに4つ。①まず謝罪、②次に事実確認、③そして解決案の提示、④最後に感謝を伝える。,この順番が命です。特に事実確認を飛ばして解決策を話すと、火に油を注ぐことになります。,この“型”さえあれば、もうクレームで心をすり減らす必要はなくなります。,これが起きた時の対応。そして起こさないためには、報告・記録・分析・研修が不可欠です。,FL比率;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;飲食店経営は“戦時”と“平時”を分けて考えろ;PLは％で見れるように;飲食店は立地で決まる？
2,カード決済手数料上乗せやランチ使用不可は違反,「ランチは現金のみです」これ、実はアウトです。,手数料高いし、ランチ単価やと正直しんどい…って思いますよね。,「手数料3%もらいます」とか「1000円以上で」とか、ついやりたなる気持ち、分かります。,でもそれ、全部加盟店規約違反なんです。,バレたら最悪、カード決済の契約を解除されます。お客様の信頼も一気に失いますよ。,「今まで何も言われてへんし大丈夫やろ」って、心のどこかで思ってません？,少しでも利益を残したい、その気持ちは僕も痛いほど分かります。,「なんで店側が全部負担せなあかんねん」って、本音では思いますよね。,その気持ちはホンマに分かる。でも、知らんかったでは済まされないのが現実なんです。,このあと、なんでそれがアカンのか、じゃあどうすればええのか、ちゃんと説明します。,知らずに信頼を失う店と、ルールの中で賢くやってる店、どっちが生き残ると思いますか？,カード決済ってもう、電気や水道と一緒のインフラなんです。その利用料をお客様に直接請求したら、そら怒りますよね。,結論、カード手数料は「必要経費」。最初から販売価格に織り込むのが大原則です。,金額での利用制限、時間帯での利用制限、手数料の上乗せ。この3つは絶対やったらアカンと覚えてください。,まずはお店のレジ周りやメニューを見てください。もし「現金のみ」とか書いてたら、今すぐ剥がしましょう。,目先の手数料を気にして、未来のお客様とお店の信頼を失うの、ほんまにもったいないですよ。,自分のお店が加盟店規約違反をしてないか、今すぐチェックしてみてください。,やりがいじゃなく仕掛けマネジメント;地域密着型店舗の落とし穴;スタッフが辞めるのは、給料のせいだけじゃない;インスタグラマー集客はやめろ;試食の仕方　ワンポーション食わんかい
3,才能・センス・環境・運・人脈・お金がなくても成功する方法＝量をこなす,才能とかセンスとか、そんなもん関係あらへん。僕なんか貯金0の借金まみれからでしたで。,「自分には何もないわ…」って、他人と比べて諦めかけてませんか？,すごいお店を見ては「うちには無理や」って言い訳を探したり、新しい情報ばっかり集めて結局何も手につかんかったり。,それ、全部時間の無駄ですよ。,ないもんを数え続けてるうちに、気づいたらお客さんが静かに離れていって、店たたむことになります。,ほんまは「何かやらなあかん」って焦ってるんちゃいます？でも何から手をつけてええか分からんのですよね。,僕もそうでした。周りがみんなすごそうに見えて、自分だけが取り残されてる感じ。ほんま心細いんです。,結局、失敗するのが怖いだけなんです。「才能がない」ってせいにできたら、楽やから。,その気持ちは痛いほど分かる。でも、そのままじゃ一生何も変わりませんよ。,でも大丈夫。才能も金も人脈もなくても、唯一、誰でも成功できる方法が1つだけあります。,天才が1回でできることを、凡人は100回やればええだけの話なんです。,新しいレシピを1つ考えて悩むより、今の看板メニューを100回作って改善点探す方が、よっぽど力になります。,結論、何もない状態から成功する方法は「量をこなす」こと。ただそれだけです。,接客でも、調理でも、SNS投稿でも何でもええ。質は後からついてくるんで、まずは量をこなしてください。,まずは1つだけ「毎日必ずやる」ってことを決めて30日続けてみてください。ほんまに小さなことでええんです。,その積み重ねが、いつか誰にも真似できひん、あなたの武器に変わります。,料理も経営も、できるまでやり続けるだけ。それが成功への一番の近道です。,家族経営の強み;始めるより、撤退が上手い店が勝つ;一見客で回す飲食はいつか潰れる;加工品を賢く取り入れる;閉業率が高く絶対に選ばない3つの業態
4,面倒くさいお客さんになってませんか？（取引先に威圧的）,「もうあんたとは仕事したくないわ」…そう業者さんに思われる行動、とってませんか？,「こっちは金払ってるんやから、ちゃんとしてほしいわ…」って、ついイライラしてしまう時、ありますよね。,まさか納品が遅れた業者さんに、電話でキツく詰めたりしてへんよな？,それ、お店の評判も自分の首も締める、最悪の一手やで。,その態度を続けてると、ええ食材や大事な情報が回ってこんようになって、気づけば周りは敵だらけになります。,「お金を払う側が上」って、心のどこかで無意識に思ってしまってへん？,お店のクオリティを守りたいからこそ、取引先にも厳しくなってしまう。その気持ちは痛いほど分かります。,でも本音は、いがみ合いたいんじゃなくて、ええ関係を築いて一緒に店を盛り上げたいんちゃいます？,その熱意は本物や。でも、伝え方ひとつで味方が敵に変わってしまうんです。,この後、取引先が「この店のためなら！」って、勝手に応援したくなる魔法の関係構築術、教えますわ。,業者を“下請け”と見る店は孤立して、“パートナー”と見る店には自然と人が集まってくるんです。,取引先との関係って、お店の常連さんを大事にするのと同じ。見えないところこそ、お店の品格が出るんですわ。,答えはひとつ。取引先を、お店を一緒に作る「仲間」としてリスペクトすることです。,まずは「いつもありがとう」を伝える。ミスは責めずに「どうすれば良くなるか」を一緒に考える。相手をプロとして尊重する。,明日から、納品に来てくれた人に「いつも助かってます！」って笑顔で言うてみて。それだけでええんです。,一人で頑張ってると、つい周りにも完璧を求めてまう。でも、あなたを支えてくれる味方は多い方が絶対に強いで。,威圧的な態度から、ええ結果が生まれることは絶対にありません。リスペクトを持って接していきましょう。,こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;googleマップの口コミ=顧客体験（小手先で上げれるものではない）;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな;始めるより、撤退が上手い店が勝つ;立地選び　一等地信仰が危ない理由
5,スポットワーカーの使い方と準備,今すぐタイミーさん使うの、ちょっと待ってください！,「人足らん！とりあえず呼んどこ！」って、焦ってませんか？,で、来てもらっても結局、洗い物しか頼まれへん…みたいなことになってません？,それ、お金ドブに捨ててるのと一緒ですよ。,その使い方してたら、人件費だけ膨らんで、お店の利益ぜんぶ食いつぶされます。,「どうせ単発の人やし、簡単なことしか任せられへん」って、最初から諦めてません？,忙しい中、いちいち教える時間ないし、任せるの不安やって気持ち、めっちゃ分かります。,でもそれって結局、マニュアル作るのが面倒くさいっていう本音、隠してません？,その『面倒くさい』が、あなたのお店の成長を止めてるんです。,今から、スポットワーカーさんを時給以上の戦力に変える、超具体的な準備方法をお伝えします。,準備ゼロの店と、準備万端の店では、人時売上高がマジで変わります。,準備なしで人を呼ぶんは、地図も渡さんと『目的地まで走って』って言うてるようなもんですよ。,呼ぶ前にやるべきことはたった一つ。『誰でも動ける仕組み』を作ることです。,洗い物だけやらせて満足してたらあきません。人件費に見合う仕事をお願いできる準備をするんです。,まずは『これだけ見て』って言える30秒の動画マニュアルをスマホで撮る。これだけで全然ちゃいますよ。,ちゃんと準備すれば、スポットワーカーさんはお店を救う最高のパートナーになります。,『単純作業だけやってくれたらええねん』は言い訳です。まずはマニュアル整備から始めましょ。,人気店は「やりたくないこと」も決めてる;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;価値を人に宿すと、集客が強くなる;Google口コミ＝QSC＋店舗内研修;集客に即効性を求めてはいけない
6,メニュー写真、スマホで撮ったの使ってた潰れます,メニューの写真、スマホで撮ったやつ使ってたら、マジで潰れますよ。,「最近のスマホはカメラ綺麗やし、これで十分やろ…」って、心のどこかで思ってません？,ちゃちゃっと撮って、アプリでちょこっと明るくして、それで満足してませんか？,それ、一番あかんやつです。,その写真のせいで、ほんまは美味しいはずの料理が全然注文されへん。気づかんうちに店の寿命、縮めてますよ。,「写真は大事」って頭ではわかってるけど、費用もかかるし、結局後回しになってるんちゃいます？,僕のクライアントにも、「自分で撮った方が早いし安い」って言うてた人、ぎょうさんいましたわ。,ほんまは「写真一枚で売上なんてそんな変わらんやろ」って、ちょっと甘く見てたんですよね。,その気持ち、めっちゃわかります。でも、その一枚がお客様の「食べたい！」を消してしまってるんです。,今日は、なんでスマホ写真が危険なんか、そしてお客様が思わず注文したくなる写真の秘密を教えます。,素人が撮った“記録のための写真”と、プロが撮った“売るための写真”。売上が変わるのはどっちやと思います？,メニュー写真は、店の『顔』であり、無言の『営業マン』です。寝癖ついたままの営業マン、信用できます？,結論、写真は絶対に妥協したらあきません。料理の価値は、見た目で8割決まります。,大事なんは『照明』『角度』そして『湯気』。この3つだけで、料理は生き物みたいに変わるんです。,まずは地元のフード専門カメラマンを探す。それが無理でも、照明機材だけでもレンタルして撮り直してみてください。,写真を変えただけで、「これください！」って指差し注文が増えたら、嬉しないですか？,写真一枚で客単価は変わります。温度や匂いまで伝わる『シズル感』、意識してみてください。,リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;焼肉屋の仕込みの壁を超える仕組みとは;飲食店がキッチンカー参入で儲からない理由;竹矢匠吾が思う飲食店経営のやりがい;アルバイトの定着
7,休むなら代わり探してな、は違法,バイトに「休むなら代わり探してな」って言うてる店、それ違法ですよ。,いや分かるで。急に休まれたら店が回らん…って焦りますよね。,シフトに穴が空くから、つい本人に「誰かおらん？」って言わせてへん？,それ、完全にアウトです。,最悪の場合、労基に駆け込まれて“ブラック店”のレッテル貼られますよ。,「こっちも大変やねんから、それくらい協力してや」って、心のどこかで思ってません？,シフト管理の大変さ、僕も死ぬほど経験したからほんまに分かります。,本当はスタッフに無理言いたくない。でも、店を守る責任があるから…って板挟みですよね。,その気持ちは痛いほど分かる。けど、法律は待ってくれへんのです。,今から、スタッフも自分も守るための“正しい休み方”のルール、お伝えします。,「代わり探せ」は命令。「誰か代われる人おらんかな？」は相談。この違い、めちゃくちゃ大きいんです。,シフトの穴埋めは、オーナーの仕事。皿洗いを客に頼まんのと同じですわ。,結論、休むスタッフに代役を探させる義務は一切ありません。,お願いベースで相談するのはOK。でも、休みを認めへんかったり、強制するのは業務命令権の濫用にあたります。,まずやるべきは、ヘルプに入れるスタッフリストを事前に作っておくこと。これがオーナーの仕事です。,正しいルールで運用すれば、スタッフは安心して働けるし、結果的に店の力になります。,欠員が出た時の対応は、全部お店の責任。これを肝に銘じてください。,物件選びはなんかええな、じゃなくてロジックで選ばなあかん;限界利益;バイトの意識が劇変する現場研修のやり方とは;ぶっちゃけ飲食店の成功は立地で決まるかどうか;歩留計算の仕方
8,床に調味料とかそのままボトルで置いてませんか？,床に調味料のボトルそのまま置いてる店、普通にヤバいですよ。,「ちょっと置くだけやし」「忙しいし」って、ついやってません？,一斗缶とか醤油のボトルとか、バックヤードで床に直置きしてる光景、あるあるですよね。,それ、絶対あきません。,保健所の監査で一発アウト。最悪、営業停止命令くらって店の信用も全部失いますよ。,「今まで何も言われへんかったし大丈夫やろ」って、心のどこかで油断してません？,棚を置くスペースもないし、しゃあないやん…って気持ち、めっちゃ分かります。,正直、そこまで重大なことやと思ってへんかった、ちゃいますか？,でもその「ちょっとだけ」の甘えが、取り返しのつかん事故につながるんです。,このあと、なんで床への直置きが法律違反レベルでアカンのか、その理由をはっきり解説します。,衛生管理できてる店とできてへん店、お客様は意外とそういうとこ見てますよ。,厨房の床って、お客さんの靴の裏とかいろんな菌がウヨウヨしてるトイレと一緒やと思ってみてください。,結論、食品や調味料は、床から60cm以上離して保管するのが鉄則です。,これはHACCPの考え方に基づく衛生管理の基本で、害虫や汚染から食品を守るためなんです。,今すぐホームセンターでスノコや安い棚を買うてきてください。まずはそれだけでOKです。,「知らんかった」では済まされへんのが、食中毒の怖さ。守れるルールは守らんと。,お店の信頼は足元から。今すぐ自分の厨房、見直しましょ。,マクドナルドから真似すべき戦法;求人が来ない理由とブランドイメージの関連性;FL比率;アルコール出ない問題;メニュー開発は固定概念に囚われてはいけない（リフレーミング）
9,労働分配率,スタッフ減らして利益を出したお店は、三ヶ月後に売上が下がりますよ。,人件費が一番重い…なんとかせなって思いますよね。,だからつい、シフトを1時間削ったり、一人減らしたりしてしまう。,それ、改善ちゃいます。ただの劣化ですわ。,残ったスタッフが疲弊して、店の空気が悪くなって、常連さんも静かに離れていきます。,「うちは回ってるから大丈夫」って思ってません？でもお客さんはサービスの低下に気づいてますよ。,毎月の支払いを考えたら、一番手っ取り早くコストカットできるのが人件費やって気持ちは痛いほどわかります。,でも、頑張ってくれてるスタッフに申し訳ない気持ち、ありませんか？,その優しさは大事です。でも守りに入った経営は、じわじわ店を弱らせるだけです。,今日は、人を減らさずに利益を出す、ほんまの意味での『改善』の話をします。,人を減らすのは、いわば『止血』。でも、血が足りてないのに止血だけしても意味ないですよね？,少ない人数で回すってことは、一人当たりの仕事が増えるってこと。料理の提供が遅れたり、笑顔が消えたり、必ずどこかに歪みが出ます。,結論、人を減らして出た利益は改善ではなく、サービスの質を切り売りしてるだけです。,ほんまの利益改善は、スタッフを減らさず『粗利』を増やすこと。これ以外に道はありません。,具体的には、利益の出ないムダなメニュー、非効率なムダな動線、お客さんを待たせるムダな時間。この3つから見直してください。,スタッフがイキイキ働ける環境こそが、最高のサービスを生んで、結果的に利益に繋がるんです。,人を削る前に、まずはムダなメニュー・ムダな動線・ムダな待ち時間から消していきましょう。,家族経営の強み;集客に即効性を求めてはいけない;歩留計算の仕方;意思決定と合意形成;オーナーしか作れない属人料理
10,開業の手続き一覧,これは永久保存版！飲食店の開業手続き、順番間違えたら即アウトです！,「手続き多すぎて、何から手ぇつけたらええか分からん…」ってなってませんか？,とりあえず内装工事だけ先に進めて、書類は後回し…とか、ついやりがちですよね。,アカンアカン！その順番、めっちゃ危ないで！,最悪、許可が下りずオープン延期。その間の家賃だけが垂れ流し…なんてことも。,「保健所？消防署？税務署？どこ行ったらええねん！」って、ネットの海を彷徨ってません？,開業準備でただでさえ忙しいのに、役所の手続きまで…ほんま頭パンクしますよね。,「もし一つでも書類が漏れてたら…」って、夜も眠れんくなる気持ち、よう分かります。,でも、この手続きだけは「知らんかった」では済まされへんのです。,この動画一本で、いつ・どこに・何を出すべきか、開業手続きの全体像がまるっと分かります。,自己流で調べてパニックになるのと、このリスト通りに淡々と進めるの、どっちがええですか？,開業手続きって、コース料理の仕込みと一緒。出す順番とタイミングが命なんですわ。,結論、手続きは「タイミング」が全て。この順番でやるのが最短・最強です。,大きく分けて「工事中」「開業2週間前」「開業直前」「開業後」の4つのタイミングで覚えときましょ。,工事中に消防署、開業2週間前に保健所、深夜営業なら警察署も。開業直前と開業後に税務署や役所関係、この流れです。,これさえ押さえとけば、安心してオープン準備に集中できますやん？,ちなみに施工関連の細かい手続きは、信頼できる内装屋さんに任せるのが一番の近道です。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;人が辞めないチームの作り方　給与より信じたくなる空気があるか;インスタグラマー集客はやめろ;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;ABC分析
