No,タイトル,フック,解決策,エンド,処理済み
1,家賃と広告費,これだけは肝に銘じて欲しいんですが家賃が高いお店は広告費が安くなりやすく、家賃が安いお店は広告費が高くなりやすいです,家賃は固定の集客費用、広告費は変動する集客費用と覚えてください,出店時に大事なのは家賃単体で高いor安いを判断するんじゃなくて「家賃＋広告費」で見なければいけないです,
2,ミスが多いスタッフへの叱責,なんでできひんねん！って叱ってくる上司の元では働かなくていいです,人格の否定や感情による叱責ではなく、できない仕組みを疑うことが優先です,原因のヒアリングや再発防止に一緒に考えることが本来あるべき向き合い方です,
3,深夜営業やランチ営業をやるかどうか,ランチ営業を安易に始めるから失敗するんですよ,営業時間を増やすかどうかは、「売上」ではなく「追加利益」で判断してください,営業時間は売上最大化ではなく利益最大化で決める方が正しいです,
4,外国人スタッフのマネジメント,外国人スタッフに簡単な仕込みしかさせてない店舗の最大のリスクを見落としてませんか？,簡単な仕込みしか任せない最大のリスクは、人件費は払っているのに人的資産が増えないことです,日本人スタッフの負担が見えないところで増えたり、店舗展開に踏み出せないなど見えないリスクがあまりに多すぎます,
5,インフルエンサーはいくらで呼べる？,インフルエンサーっていくらで呼べる？って質問めっちゃ来るんですが,フォロワー数より「商圏やペルソナの一致」と「お店側の目的・準備」が一番大事です,"インフルエンサーは認知を作ることは得意だが、リピートを作ることは苦手です
本来は常連さんが新規のお客様を連れてくる状態にすることが最重要事項です",
6,2店舗目を出すタイミングは？,1店舗目が儲かったら2店舗目っていう発想の8割が失敗に終わってます,2店舗目を出すタイミングは、1店舗目が儲かった時ではなく、1店舗目が自分なしで回るようになった時です,1店舗目で成功した経営者が2店舗目で失敗する最大の理由は資金ショートではなく、組織力不足です,
7,チェーン店に勝つには,チェーン店に勝とうとした時点で負け確定です,チェーン店に勝つことではなく、チェーン店ができないことをやるのが正解です,"チェーン店は万人に選ばれる店。
個人店は誰かに熱狂的に選ばれる店。
この勝負に持ち込めれば、資本力ではなく存在理由で勝負できます。",
8,シフトの提出が遅い,シフトの提出が遅くて困ってるねんって嘆いている人、もっと根本的なガンが他にあることに早く気づいてください,シフト提出の遅さは、お店への当事者意識の低さを表しています,シフト提出が遅い人を責めるより、チームのマネジメントを見直す方が効果的です,
9,面接で何聞いたらいい？,面接の時、「何がしたいん？」とか、「このお店の価値観は〜」って語って満足してる人、半年後応募者にやめられる未来しかないですよ,面接の時は未来の質問ではなく、過去の質問をしてください,面接は「採用する理由」を見極める場ではなく、「採用しない理由」がないかを照らし合わせる場です,
10,忙しいのにお金が残らない,忙しいのにお金が残らへんって悩みないですか？,売上はあるのに、キャッシュを生まへん仕事が多いお店はお客様が増えるほど儲からないですよ,"売上を作ることに集中しすぎて利益を残すことを忘れてませんか？
税理士さんと定期的にミーティングして振り返ってください",
11,FC加盟,竹矢さんFC加盟ってどう思いますか？ってDMよく頂くのでここで回答します,極端に言うと失敗確率を下げる代わりに、成功の上限も差し出す契約です,"飲食店で最も難しいのは商品開発ではなく、財務管理・集客・マネジメントです
FCに加盟したら成功するのではなく商品開発と販売設計を買ってるだけなんです",
12,初期費用どれくらいで回収するべき？,初期費用どれくらいで回収するべき？って質問は経営初心者バレますよ,何年で回収するかではなく投資利益率（ROI）で考えてください,"失敗するオーナーが陥りやすいのは、作りたいお店を作ってから売上を考えることです
上手く行く経営者はいくら利益が出るかを計算してからお店を作っています",
