No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,法人or個人,開業する時、法人か個人か、なんとなくで決めてませんか？,まあ最初は個人でええか…って、深く考えずに始めてしまいますよね。,売上が上がったら法人にすればええわって、後回しにしてる人、ほんま多いです。,でもその考え方、実は一番もったいないんです。,気づいた時には税金でごっそり持っていかれて、手元にお金が全然残らん…なんてことになりかねへん。,ぶっちゃけ、どっちがどれくらい税金かかるんか、ちゃんと計算したことないですよね？,日々の営業で忙しいし、税金の話ってなんか難しそうで後回しにしたくなる気持ち、めっちゃ分かります。,ほんまはちゃんとせなあかんって分かってるけど、誰に聞いたらええかも分からんし…って感じですよね。,でも、知らんままでいることが一番のリスク。稼いだお金を守れるんは自分だけですよ。,このあと、法人と個人のメリット・デメリットをサクッと解説します。これ見れば、自分がどっちを選ぶべきかスッキリしますよ。,ざっくり言うと、個人は手軽やけど税金が高くなりがち。法人は手続きいるけど節税メリットがデカいんです。,個人は一人で切り盛りするカウンターのお店。法人はスタッフ雇って多店舗展開も狙えるレストラン。目指す規模感で全然ちゃいます。,結論、最大のポイントは『自分の給料』を経費にできるかどうかです。,法人にすると、自分の給料（役員報酬）が経費になるんで、給与所得控除っていう大きな節税メリットが使えるんです。,まずは自分の年間の利益がいくらになりそうか計算してみてください。利益が500万超えるなら、法人化を検討する価値アリです。,お金の話ってややこしいけど、仕組みさえ分かれば、ちゃんと自分の頑張りを守れるようになりますよ。,もちろん法人は社会保険の加入義務とか、赤字でも税金がかかるデメリットもあるんで、そこは要注意です。,人気店ほどクレーム多い理由はミスではなく期待値が高いだけ;なぜ新入社員のエンゲージメントが3年で低下するのか;一見客で回す飲食はいつか潰れる;物価高の今やるべきこと;人時売上高
2,棚卸,棚卸、ただの在庫数える作業やと思てる店、マジで危ないで。,正直、めんどくさいだけやん…って思てません？,月末にスタッフと「だるいなー」言いながら、ただ数だけメモして終わり。,それ、ただの自己満作業やで。,そのままだと、気づかんうちに利益がダダ漏れして、なんで儲からんのか分からんまま店畳むことになりますよ。,「だいたい原価率30%くらいやろ」って、どんぶり勘定で仕入れしてません？,分かりますよ。日々の営業で手一杯で、細かい数字まで見てられへん気持ち。,ほんまは「ちゃんと経営できてるんかな…」って、漠然とした不安、ずっとありますよね。,僕も昔はそうでした。でも、その“めんどくさい”の先にしか、ほんまの利益は残らんのですわ。,今日は、棚卸が“ただの作業”から“儲けを生む戦略”に変わる、ほんまの意味を話します。,「数えるだけ」の店と、「お金の流れを見る」店。月末の1時間で、年間の利益が数百万変わります。,棚卸って、お店の健康診断と一緒ですわ。体のどこから血が出てるか分からんと、手当のしようがないでしょ？,棚卸の一番の目的は、使ったお金がちゃんと売上に変わってるか、その通信簿を見ることです。,仕入れたもんが、①どれだけお金に変わって、②どれだけ現金化されずに眠ってて、③どこでロスが出てるか。この3つを把握するためですわ。,月末に在庫を金額に直して、先月の在庫と今月の仕入れから売上原価を出す。これだけで発注の精度も上がるし、ロスや不正も見えてきます。,「なんで利益残らんのや…」って悩んでた日々、原因は全部ここにあったんやって、スッキリしますよ。,棚卸は、未来の利益を守るための経営戦略ですわ。,チェーン店に勝つ方法;googleマップの口コミ=顧客体験（小手先で上げれるものではない）;エリアリサーチ　主導線と副動線;人気店ほどクレーム多い理由はミスではなく期待値が高いだけ;求人が来ない理由とブランドイメージの関連性
3,オープン時の機材＝電力,オープン時の電気工事、ケチったお店はだいたい後で泣き見てます。,初期費用、ちょっとでも抑えたい…その気持ち、めっちゃ分かります。,「とりあえず今の機材が動けばええか」って、最低限のアンペアで契約してません？,それ、一番やったらあかんやつです。,満席のピークタイムにブレーカー落ちて、店内真っ暗…想像しただけでゾッとしますよね。,「うちはそんなハイテクな機材使わんし」って、今のオペレーションだけで考えてません？,開業の時って、他にも考えることだらけで電気のことまで頭回らんの、ほんまに分かります。,でも「後からなんとかなるやろ」っていうその油断が、一番怖いんですよ。,気持ちは分かるんですけど、お店のインフラをケチってたら、成長なんかでけへんのです。,今から、なんで最初に電力に余裕を持たせなあかんのか、その理由を具体的にお伝えしますね。,後から追加工事で営業止めて何十万も払うお店と、最初からスムーズに新機材を導入できるお店、どっちがええですか？,電力容量って、お店の器の大きさなんです。小さい器に、大きな売上は入らへんのです。,結論、電力契約は将来導入するかもしれへん機材の分まで見越して、必ず余裕を持って契約してください。,例えばスチコン、業務用レンジ、急速冷凍庫。この辺の消費電力を最初から計算に入れとくんです。,厨房を設計する段階で、業者さんに「将来これ入れたい」って一言伝えるだけで、未来が全然変わります。,「あの時やっといてほんまに良かった…」未来の自分が絶対感謝する投資、それが電気工事なんです。,便利なもんは、どうせすぐ欲しなります。開業資金と電力計算、甘く見積もるのだけは絶対にやめときましょう。,集客の相談より「人」に関する問い合わせが一番多い;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;求人が来ない理由とブランドイメージの関連性;ロードサイド型店舗の生き残り戦略;物件選びはなんかええな、じゃなくてロジックで選ばなあかん
4,値段の決め方,値段決める時『原価の3倍』とかで決めてたら、そりゃ潰れますよ。,ちゃんと原価計算してるのに、なんで利益残らんのやろ…って思ってません？,周りのお店の値段見て「うちはこれくらいかな」って、なんとなく決めてたりしませんか？,それ、一番やったらあかん値付けです。,忙しいだけで全然お金が残らんくて、気づいたら自分の給料削ってる…そんな未来が待ってますよ。,ほんまは値上げしたいけど、お客さん離れたらどうしよう…って、怖くて動かれへんのですよね？,僕も昔は『安くて美味い』が正義やと思ってて、全然儲からんかった時期がありました。,ええもん出したい気持ちと、店を続けなあかん現実の板挟みで、ほんましんどいですよね。,その優しさが自分の首絞めてるって、そろそろ気づかなあきませんよ。,このあと、原価率だけにとらわれず、お客様もお店も幸せになる値付けの考え方、お伝えします。,原価から値段を決める店と、価値から値段を決める店。1年後、笑ってるのはどっちやと思いますか？,同じ原価のパスタでも、ファミレスと高級リストランテで値段が全然違う。あれが答えなんです。,結論、値段は『お客様が納得して払ってくれて、かつお店がちゃんと潰れない金額』。これ以外にありません。,ポイントは3つ。お店の価値を言葉にすること、誰に届けたいかを決めること、そして、全ての経費をちゃんと把握することです。,まずは自分の店のメニューを全部見て、『この料理でお客様をどう幸せにしたいか』を書き出してみてください。そこから値段が見えてきます。,適正な価格をいただくことは、お店を長く続けて、お客様に価値を提供し続けるための責任ですよ。,「この料理でこの値段、お客様は満足してくれるかな？」この目線を忘れたら、ただの作業になりますからね。,家族経営の強み;集客の相談より「人」に関する問い合わせが一番多い;現場のスタッフ全員で生産者に会いに行け;財務三表の説明;人気店は「やりたくないこと」も決めてる
5,SNS、グルメ媒体の使い分け,グルメサイトとSNS、どっちが正解か分からんままお金払ってませんか？,正直、高い広告費払ってるのに、予約全然入らんやん…って焦り、ありますよね。,「とりあえず有名やから」「営業さんが言うから」で、思考停止で契約してません？,それ、自分のお店の首絞めてるだけかもしれませんよ。,気づいたら毎月10万近く垂れ流し。でも解約も怖くて、結局利益がどんどん削られていくんです。,「SNSもやった方がええのは分かってるけど、何から手つけたらええか…」って思ってますよね？,媒体ごとの違いもよう分からんし、日々の営業で忙しくて調べる時間もない。めっちゃ分かります。,でも本音は「もう集客で悩みたくない」「かけたお金の分はちゃんと返ってきてほしい」これに尽きますよね。,その気持ち、痛いほど分かります。でも、媒体任せにしてるうちは、一生お金で悩み続けますよ。,今日は、あなたのお店に合った媒体の選び方、そしてSNSとの賢い使い分け方を全部お伝えします。,グルメサイトは「今すぐ客」、SNSは「そのうち客」。この違いを理解するだけで、お金の使い方が180度変わります。,例えるなら、グルメサイトは駅前の看板、SNSはファンクラブみたいなもん。目的が全然違うんですわ。,結論、媒体は「目的」で使い分ける。これが全てです。,それぞれの強み弱みを理解して、自分のお店の特徴に合わせて契約するべきです。,まず、商圏でどのサイト経由の予約が多いか調べる。そして予約の前の『発見』を担うSNS・Googleマップもちゃんと育てていくんです。,もう「何となく」で広告費を払うのはやめにしましょう。自分の頭で考えて選んだ一手が、お店を救いますから。,まずは今契約してる媒体の費用対効果、一回ちゃんと計算してみてください。そこから全てが始まります。,最強の戦略は凡事徹底;歩留計算の仕方;家族経営の強み;やりがいじゃなく仕掛けマネジメント;人時売上高
6,アルバイトのモチベーション,アルバイトはお金で入って、人で残るんです。時給上げてもすぐ辞める店、致命的な勘違いしてますよ。,「なんで時給も悪くないのに、すぐ辞めてしまうんやろ…」って、頭抱えてませんか？,とりあえず時給を上げて、求人応募を増やそうとしてる。,でも、それじゃ根本的な解決にはならへんのです。,お金だけで繋がってる関係やから、もっと時給の高い店ができたら、みんなそっちに行ってまいますよ。,「うちの店、働きやすいはずやのに…」って、理由がわからんまま人が入れ替わってませんか？,時給も大事やけど、それだけやないって、本当は気づいてますよね。,でも、お金以外に何を与えたらええんか、分からんのが本音ちゃいますか？,気持ちは分かります。でも、お金だけの関係づくりから卒業せんと、いつまでもしんどいままですよ。,今日は、アルバイトの子が「この店で働きたい」って心から思うようになる、たった一つの秘訣をお伝えします。,時給で釣る店は「労働力」を雇うだけ。居場所をつくる店は「仲間」を育てるんです。,アルバイトって、ただの歯車やないんです。お店を一緒に盛り上げてくれる大切なパートナーなんですよ。,結論、アルバイトのモチベーションは時給やなくて「自分の存在価値を感じられるか」で決まります。,「ありがとう」って感謝を伝える。小さな成長をちゃんと褒める。意見を聞いてあげる。たったこれだけです。,まずは今日のシフト終わりの子に「いつも助かってるわ、ありがとうな」って一言伝えてみてください。,「自分はここで必要とされてる」って実感できるだけで、人の動きは驚くほど変わるもんです。,承認、成長実感、貢献実感、仲間意識。これらを与えられる飲食店こそ、これからの時代を生き残る強いお店です。,料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;オーナーしか作れない属人料理;人が辞めないチームの作り方　給与より信じたくなる空気があるか;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない
7,集客って何からしたらいい？,集客したいからって、新メニューの試作ばっかりしてませんか？それ、一番やったらあかんやつです。,「新しいお客さん、どうやったら来てくれるんやろ…」って、毎日頭抱えてますよね。,とりあえずインスタに美味しそうな写真あげとこ、とか、限定メニュー作ったら誰か来てくれるやろ、とか。,それ、全部ムダ足になる可能性高いです。,誰にも届かん独りよがりのメニューばっかり増えて、結局誰も来えへんまま食材費だけがかさんでいくんです。,「ウチの料理は美味しいんやから、食べてもらえさえすれば分かるはず」って、心のどこかで思ってません？,美味しいもん作ってる自信があるからこそ、なんでお客さん来えへんのか分からんくてしんどいんですよね。,でもほんまは「何から手つけたらええか分からん」っていうのが本音ちゃいますか？,その気持ちめっちゃ分かります。でも、待ってるだけじゃお客さんは来ませんよ。,実は、集客には料理の腕より先にやらなあかん、たった一つの大事なことがあるんです。,やみくもに宣伝するお店と、たった一人に狙いを定めてるお店。どっちが響くと思いますか？,誰もおらん海で釣り糸垂らすんじゃなくて、魚が集まるポイントに的確にエサを投げるイメージですわ。,結論、集客の第一歩は「たった一人のお客さん」を決めることです。,その人の年齢、仕事、休日の過ごし方、よく見るSNSまで、具体的に想像してみてください。,その人が「あ、私のことや」って思うような言葉で、その人が見てる場所にだけ情報を届けるんです。,誰にでも好かれようとするから、誰にも響かへんのです。たった一人を惚れさせてください。,新メニューは、その「たった一人」が決まってからで十分。集客は、料理を作る前の仕事ですよ。,繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;人気店は「やりたくないこと」も決めてる;ロードサイド型店舗の生き残り戦略;立地選び　一等地信仰が危ない理由
8,補助金頼りはジリ貧,補助金頼りの経営は、ジリ貧な未来しかないですよ。,補助金もらって一時的に安心したけど、根本的な解決になってへん…って感じてません？,「これでなんとか赤字埋めれるわ」って、運転資金や人件費の補填に使ってません？,それ、一番やったらあかん使い方です。,その使い方してたら、補助金が切れた瞬間、前よりひどい資金繰りに陥って、店たたむことになりますよ。,「でも、ないとやっていかれへんし…」って、補助金が麻薬みたいになってませんか？,僕も昔は「もらえるもんはもらっとかな損や」って思ってました。気持ちはめっちゃわかります。,ほんまは「自力で利益出す自信がない」っていう不安の裏返しちゃいますか？,その不安、わかります。でも、補助金はその場しのぎの痛み止めでしかないんです。,今日は、補助金を“痛み止め”やなくて“成長のエンジン”に変える、ほんまに賢い使い方を教えます。,赤字補填に使ってジリ貧になる店と、未来への投資でV字回復する店の違い、知りたくないですか？,補助金って、食材と一緒です。ただお腹を満たすだけやなく、新しい名物メニューを開発するために使うべきなんです。,補助金は、経営を“加速させる”ためだけにある。これが唯一の正解です。,例えば、新しいPOSレジの導入、テイクアウト用のシステム開発、集客のためのWebサイト改修。こういう未来への投資に使うんです。,「この投資、補助金がなくてもやる価値あるか？」って自問自答してください。答えがYESならGOです。,目先の安心感より、1年後、3年後にお店が笑ってる未来を選びましょ。,利益の補填に使うのはもってのほか。「補助金がないとできひん」なら、その事業はまだやるべきやないんです。,Google口コミ＝QSC＋店舗内研修;FL60%なんて守っていたらやっていけない;予約ゼロ→満席に変えた価格の順番　値下げより設計が先;無意識のクセが命取り（所作は人格、ふるまいはブランド）;ネット情報の統一化
9,オーナーは現場に入ってはダメです,オーナーは現場に入ってはダメです。,自分が一番店のことを分かってるし、自分がやった方が早いって思ってません？,人が足らんからって、当たり前のように自分のシフトを埋めてません？,それ、経営者の仕事ちゃいますよ。,あなたが汗水たらして働いてる間に、お店の成長は完全に止まってます。,現場は好きやし、お客さんの顔を見るのも楽しい。でも心のどっかで「このままでええんかな」って焦ってません？,僕も昔は厨房に立つのが一番安心しました。自分が動けば売上も立つし。,でも正直、未来の不安と向き合うより、目の前の作業に没頭してる方が楽やったんです。,その気持ちは分かります。でもそれやと、あなたの体力が尽きた時、お店も一緒に終わってまいますよ。,このリールで、オーナーが現場を離れてもお店がちゃんと成長する仕組みの作り方を具体的にお伝えします。,自分が働く個人商店から、自分が不在でも回る“事業”に変えるための考え方です。,オーナーは船のエンジンやなくて、行き先を決める船長です。自分でオール漕いでたら、船は前に進みません。,経営と個人事業主の最大の違いは、人を使って事業の売上を上げられるかどうか、これだけです。,やることは3つ。①仕事をマニュアル化する、②スタッフに任せる勇気を持つ、③そして自分は未来のための時間を作ること。,まずは週に1日でもええんで、現場から完全に離れて“考える日”を強制的に作ってください。,現場を離れるんは、正直めっちゃ怖いです。でもその一歩が、あなたのお店を次のステージに連れて行きます。,オーナーの仕事は、事業の未来を考える意思決定をすること。それが一番大事な仕事です。,インスタグラマー集客はやめろ;立地選び　一等地信仰が危ない理由;問題の本質を探す→新規集客欲しいのにメニュー開発、人が辞めるから人事評価など;無意識のクセが命取り（所作は人格、ふるまいはブランド）;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き
10,HACCPって何,HACCPって結局何するか分かってます？正直、分からんままやってるお店、めっちゃ危ないですよ。,「なんか書類とか記録とか、めんどくさいだけやん…」って思てませんか？,とりあえず言われたから書類だけ作って、あとはもう見てへんとか。,それ、HACCPちゃいますよ。,もし食中毒出たら、一発でお店潰れます。SNSで一瞬で広まりますからね。,“義務化されたからやってるだけ”って、心のどこかで思ってません？,僕も最初、ただの面倒なルールやと思ってました。気持ちはめっちゃ分かります。,でもほんまは、“何のためにやるんか”が腹落ちしてなかっただけなんですよね。,知らんままやと、いつか自分のお店の信用を、自分の手で壊すことになりますよ。,このリールでは、HACCPがただの義務やなくて、お店を守る最強の武器になる理由が分かります。,問題が起きてから謝るお店と、問題が起きへんように管理するお店、どっちが生き残ると思います？,HACCPって、車の保険みたいなもんですわ。事故ってからじゃ、ほんまに遅いんです。,HACCPは、問題が起きてから慌てるんやなくて、問題が起きひんように管理する『守りの衛生管理』のことです。,やることはシンプルで、『危ないポイント見つける』『ルール決める』『ちゃんと記録する』、この3つだけ。,まずは冷蔵庫の温度チェックとか、手洗いの手順とか、一番危なそうなとこからルール化してみましょ。,“めんどくさい”が“安心”に変わったら、もっと自信持ってお客さんに「うちの料理は安全ですよ」って言えますよね。,2021年からもう義務化されてます。記録とルールで、食中毒ゼロのお店、一緒に作っていきましょ。,人時売上高;最強の戦略は凡事徹底;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな;googleマップの口コミ=顧客体験（小手先で上げれるものではない）
