No,タイトル,フック,解決策,エンド,処理済み,_シート,_動画番号
1,クレーム客の対応の仕方,丸パクリOK、ノンストレスなクレーム対応のマニュアル全部公開します,謝罪→事実確認→解決案・代替案→再度謝罪＋感謝,起こった時はこれで起こらないために必要なのは報告・記録・分析・研修です,,727-8/7,1
2,カード決済手数料上乗せやランチ使用不可は違反,「ランチは現金のみです」は規約違反です,「1000円以下はカード不可」などの金額制限、ランチタイムはカード不可」などの時間・曜日制限、カード手数料の負担要求などは全て違反です,自分のお店が加盟店規約違反をしてないか今すぐチェックしてください,,727-8/7,2
3,才能・センス・環境・運・人脈・お金がなくても成功する方法＝量をこなす,僕は会社立ち上げてすぐ貯金0の借金まみれの風が吹いたらすぐ倒産の状態からスタートでした,才能・センス・環境・運・人脈・お金、どれもなくても成功する方法はただ量をこなすことです,料理も経営もとにかく1つのジャンルを徹底的に反復練習し、できるまで続けることが成功するための要因です,,727-8/7,3
4,面倒くさいお客さんになってませんか？（取引先に威圧的）,"「もうあんたとは仕事したくないわ」
そう言われる行動とってませんか？",取引先に威圧的な態度を取ったり言葉尻を強めて相手を責めるのはやめてください,"そこから何かいい結果になることは絶対にありません
必ずリスペクトを持って接していきましょう",,727-8/7,4
5,スポットワーカーの使い方と準備,今タイミーさんを使うのはやめてください！！,どうせ呼んでも洗い物しかやらせてないのであれば人時売上高が合わずにただ無駄にお金垂れ流してるだけですよ？,"単純作業だけやってくれたらいいねん、はただの言い訳です
マニュアルの整備をすることから始めてみましょう",,727-8/7,5
6,メニュー写真、スマホで撮ったの使ってた潰れます,メニューの写真、スマホで撮ったの使ってたら潰れます,料理は視覚情報から入ってくるので極論写真は絶対に妥協しないでください,シズル感といって温度感や音、匂いまで伝わるようなそそられる写真を必ず使いましょう,,727-8/7,6
7,休むなら代わり探してな、は違法,休むなら代わり探してな、は違法です,お願いする程度であればいいですが、代わりがいないからって休みを認めなかったり、人員確保を強制するような言い方は業務命令権の濫用にあたります,"あくまで欠員が出た際の対応は店舗側の責任です
他の従業員を手配する義務は労働者側にはありません",,727-8/7,7
8,床に調味料とかそのままボトルで置いてませんか？,床に調味料のボトルそのまま置いたらあかん理由知らんと普通にヤバいです,その管理の仕方だと食品衛生管理基準に反する扱いになり得る上に下手したら営業停止になります,"店舗の清潔さは飲食店経営する上で一番最初に守らないといけません
今一度ハサップの確認などできることからはじめましょう",,727-8/7,8
9,労働分配率,スタッフ減らして利益を出したお店は、三ヶ月後に売上が下がりますよ,"人を減らして出た利益は改善ではなく劣化です
ほんまの利益改善はスタッフを減らさず粗利を増やすこと",人を削る前にムダなメニュー・ムダな動線・ムダな待ち時間から消していきましょう,,727-8/7,9
10,開業の手続き一覧,これは永久保存版！開業手続き一気に説明します！,"内装工事前〜工事中には
防火管理者選任届　これは防火管理者が必要な規模・用途の場合、管轄の消防署に対し選任後遅滞なく提出しましょう
開業前 2週間前目安には
飲食店営業許可申請　これは管轄の保健所に対し施設完成予定日の10日〜2週間前目安で提出しましょう
開業前 10日前まで
深夜酒類提供飲食店営業開始届出　深夜0時以降に主に酒類を提供する場合、管轄の警察署に提出しましょう
開業前 7日前まで
防火対象物使用開始届　店舗の使用開始7日前までに管轄の消防署に提出しましょう

開業直前〜開業日まで
適格請求書発行事業者の登録申請、消費税課税事業者選択届出書　これらは税務署に余裕をもって申請

その他・開業後すぐ
個人事業の開業届　開業日から1か月以内
法人設立届出書　設立登記日から2か月以内
これはどちらも税務署です
事業開始等申告書・法人設立設置届　都道府県税事務所・市区町村　開業・設立後、自治体ごとの期限内（これは税務署ではないので要注意です）
給与支払事務所等の開設届出書　	税務署　給与・役員報酬を支払う場合、開設日から1か月以内",施工時の手続きもいっぱいありますが、内装デザインの会社がだいたいやってくれるので多少金額上がっても入れるべきです,,727-8/7,10
